,ReportDate,TotalCases,perc0to9,perc10to19,perc20to29,perc30to39,perc40to49,perc50to59,perc60to69,perc70to79,perc80plus,percMale,percFemale
36,04/09/2020 02:00:00 PM,6185,0.0,0.0,0.0,0.0037174721189591076,0.0034934497816593887,0.0124804992199688,0.03066812705366922,0.07166666666666667,0.1396103896103896,0.029668411867364748,0.015963855421686747
37,04/10/2020 02:00:00 PM,6968,0.0,0.0,0.0,0.004149377593360996,0.0039032006245121,0.014074595355383532,0.030447193149381543,0.07445255474452554,0.15633423180592992,0.031726283048211505,0.01838529176658673
38,04/11/2020 02:00:00 PM,7694,0.0,0.0,0.0011695906432748538,0.006074411541381929,0.003538570417551309,0.014057507987220448,0.03680981595092025,0.07529722589167767,0.16173120728929385,0.03404614518851998,0.020531400966183576
39,04/12/2020 02:00:00 PM,8225,0.0,0.0,0.0011037527593818985,0.006474820143884892,0.003324468085106383,0.014925373134328358,0.04207920792079208,0.07965686274509803,0.15863453815261044,0.03591233166094534,0.022307345651194233
40,04/13/2020 02:00:00 PM,8936,0.0,0.0,0.0010309278350515464,0.005956320317670417,0.0030543677458766036,0.014436424208772903,0.04403948367501898,0.08323831242873432,0.15789473684210525,0.03532277710109622,0.02421858828399917
41,04/14/2020 02:00:00 PM,9472,0.0,0.0,0.000970873786407767,0.006862133499688085,0.0034482758620689655,0.015247108307045216,0.04967602591792657,0.08877005347593583,0.17052980132450332,0.038018433179723504,0.026695245518316445
42,04/15/2020 02:00:00 PM,10032,0.0,0.0,0.0009182736455463728,0.0029940119760479044,0.0027654867256637168,0.008977556109725686,0.03595658073270014,0.0702970297029703,0.15329512893982808,0.040278684955366864,0.03015260158117301
43,04/16/2020 02:00:00 PM,10784,0.0,0.0,0.0017211703958691911,0.0033632286995515697,0.0030753459764223477,0.010757717492984098,0.038077403245942575,0.07230046948356808,0.1607843137254902,0.04127239782564929,0.0321471548908372
44,04/17/2020 02:00:00 PM,11572,0.0,0.0,0.0016299918500407497,0.004250797024442083,0.003352490421455939,0.010494097070397902,0.03976608187134503,0.07429547395388557,0.16040955631399317,0.042645124929551005,0.03168506961113778
45,04/18/2020 02:00:00 PM,12308,0.0,0.0,0.0015255530129672007,0.003980099502487562,0.004063205417607223,0.010004168403501459,0.03932277444019661,0.0742218675179569,0.16173361522198731,0.04314002828854314,0.032772098616957304
46,04/19/2020 02:00:00 PM,12830,0.0,0.0,0.0014378145219266715,0.005714285714285714,0.004325259515570935,0.012038523274478331,0.0410958904109589,0.08475894245723173,0.17227319062181448,0.04418486541391569,0.032355915065722954
47,04/20/2020 02:00:00 PM,13684,0.0,0.0,0.0013440860215053765,0.005345211581291759,0.004095004095004095,0.012537993920972644,0.03970223325062035,0.08303249097472924,0.17305893358278765,0.043423137876386686,0.03281800922158937
48,04/21/2020 02:00:00 PM,14193,0.0,0.0,0.0012961762799740765,0.0047230571060541005,0.004726270185112249,0.012536873156342183,0.040326452232357174,0.09427374301675978,0.17962466487935658,0.047792998477929984,0.03541912632821724
49,04/22/2020 02:00:00 PM,14775,0.0,0.0,0.0012539184952978057,0.004968944099378882,0.004595940252776714,0.013903743315508022,0.041743970315398886,0.0992063492063492,0.18811881188118812,0.04969945755754288,0.03671108876037214
50,04/23/2020 02:00:00 PM,15737,0.0,0.0,0.001756440281030445,0.004608294930875576,0.005384063173007897,0.014527027027027028,0.04098721903922433,0.10483364720652856,0.19058641975308643,0.04938271604938271,0.03788327216763348
51,04/24/2020 02:00:00 PM,16616,0.0,0.0,0.0016366612111292963,0.004715270221254987,0.005800068236096895,0.014867485455720749,0.04280318925723878,0.10357142857142858,0.19361856417693982,0.04817876517695686,0.039441063781834575
52,04/25/2020 02:00:00 PM,17766,0.0,0.0,0.0020181634712411706,0.004049949375632805,0.005705229793977813,0.016423357664233577,0.04434850863422292,0.10362400906002266,0.20781032078103207,0.049830672472181904,0.040534849441987784
53,04/26/2020 02:00:00 PM,18581,0.0,0.0,0.0019074868860276585,0.0038597619813444837,0.005504587155963303,0.015817223198594025,0.044134288947566956,0.10070767555797495,0.19960732984293195,0.04954745880714783,0.04014854963364448
54,04/27/2020 02:00:00 PM,19487,0.0,0.0,0.0022552999548940008,0.003982843137254902,0.005238649592549476,0.01687289088863892,0.048585931834662796,0.10960334029227557,0.2127003699136868,0.04940733355489088,0.03938814531548757
55,04/28/2020 02:00:00 PM,20113,0.0,0.0,0.0026166593981683385,0.003861003861003861,0.005344585091420534,0.016598639455782313,0.0490299823633157,0.11099847947288394,0.2275196137598069,0.0512656199935918,0.04176744186046512
56,04/29/2020 02:00:00 PM,20849,0.0,0.0,0.0029251984956122023,0.003987467957846767,0.006493506493506494,0.017141350210970463,0.05193030406559617,0.11498771498771498,0.24294117647058824,0.051651404465479986,0.04339622641509434
57,04/30/2020 02:00:00 PM,21742,0.0,0.0,0.0031683168316831685,0.003800217155266015,0.006716610694910876,0.017263264788017263,0.053488372093023255,0.12049927988478157,0.25184344866704483,0.053020597220853456,0.043898231996550234
58,05/01/2020 02:00:00 PM,23472,0.0,0.0,0.0029175784099197666,0.0034782608695652175,0.006625650733554188,0.01603017444601603,0.0510108864696734,0.11875286565795506,0.24367939752555137,0.051676995989792196,0.04248
59,05/02/2020 02:00:00 PM,24473,0.0,0.0,0.002789400278940028,0.0038031851675778463,0.006397075622572538,0.017272727272727273,0.05253731343283582,0.12555066079295155,0.2510245901639344,0.05249389605859784,0.04259900038446751
